Directive ID,Administration,President,Directive Type,Number,Title,Signed Date,Published Date,Federal Register Citation,Federal Register URL,Official PDF URL,Related Directive IDs,Relationship Notes,First Seen,Last Changed,Content Fingerprint,Review Status,ARRP Record IDs,Source IDs,Disposition Rationale,Reviewed Date
2017-12621,Trump I,Donald Trump,Determination,,Presidential Determination Pursuant to Section 4533(a)(5) of the Defense Production Act of 1950,,2017-06-15,82 FR 27607,https://www.federalregister.gov/documents/2017/06/15/2017-12621/presidential-determination-pursuant-to-section-4533a5-of-the-defense-production-act-of-1950,https://www.govinfo.gov/content/pkg/FR-2017-06-15/pdf/2017-12621.pdf,,,2026-07-21,2026-07-21,c06ff28de7d30b91624161cfe7e909390c629449ec36624f129a7d9bf534502d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2018-01709,Trump I,Donald Trump,Memorandum,,Delegation of Responsibilities Under the Frank R. Wolf International Religious Freedom Act of 2016,,2018-01-26,83 FR 3935,https://www.federalregister.gov/documents/2018/01/26/2018-01709/delegation-of-responsibilities-under-the-frank-r-wolf-international-religious-freedom-act-of-2016,https://www.govinfo.gov/content/pkg/FR-2018-01-26/pdf/2018-01709.pdf,,,2026-07-21,2026-07-21,c437b704ee4c42ce0c5598cb76e39fd459aa5ed03c0f368b66e862a09147c1f6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2019-03345,Trump I,Donald Trump,Other,,Establishment of the United States Space Force,,2019-02-25,84 FR 6049,https://www.federalregister.gov/documents/2019/02/25/2019-03345/establishment-of-the-united-states-space-force,https://www.govinfo.gov/content/pkg/FR-2019-02-25/pdf/2019-03345.pdf,,,2026-07-21,2026-07-21,bece5c0d400dc84643bd3b10ffd47efabe41222d302cf4841e55c1e9297bb88b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2020-18360,Trump I,Donald Trump,Executive Order,,Regarding the Acquisition of Musical.ly by ByteDance Ltd.,,2020-08-19,85 FR 51297,https://www.federalregister.gov/documents/2020/08/19/2020-18360/regarding-the-acquisition-of-musically-by-bytedance-ltd,https://www.govinfo.gov/content/pkg/FR-2020-08-19/pdf/2020-18360.pdf,,,2026-07-21,2026-07-21,a9056b58c625b600df1ab635a8558dfb396f61ad36ed68a77745b30ada69bbee,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2020-24912,Trump I,Donald Trump,Memorandum,,Presidential Determination on Refugee Admissions for Fiscal Year 2021,,2020-11-06,85 FR 71219,https://www.federalregister.gov/documents/2020/11/06/2020-24912/presidential-determination-on-refugee-admissions-for-fiscal-year-2021,https://www.govinfo.gov/content/pkg/FR-2020-11-06/pdf/2020-24912.pdf,,,2026-07-21,2026-07-21,c65aedf0b538ec2c51ef7121ec24091a46992ac7feac84a27aef917e52a62a63,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2021-04237,Biden,Joseph R. Biden Jr.,Memorandum,,"Advancing the Human Rights of Lesbian, Gay, Bisexual, Transgender, Queer, and Intersex Persons Around the World",,2021-02-26,86 FR 11843,https://www.federalregister.gov/documents/2021/02/26/2021-04237/advancing-the-human-rights-of-lesbian-gay-bisexual-transgender-queer-and-intersex-persons-around-the,https://www.govinfo.gov/content/pkg/FR-2021-02-26/pdf/2021-04237.pdf,,,2026-07-21,2026-07-21,4f29ba00656bd764ec699ee2151c4c2eb6f1910e320f105e0f2137b0facf7b5c,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2022-18116,Biden,Joseph R. Biden Jr.,Memorandum,,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia,,2022-08-19,87 FR 51233,https://www.federalregister.gov/documents/2022/08/19/2022-18116/continuation-of-us-drug-interdiction-assistance-to-the-government-of-colombia,https://www.govinfo.gov/content/pkg/FR-2022-08-19/pdf/2022-18116.pdf,,,2026-07-21,2026-07-21,e68457559c137736da70fe69aa4fdf72449fa6db7b70f933c24138c86bf8aff0,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-10966,Biden,Joseph R. Biden Jr.,Notice,,Regarding the Acquisition of Certain Real Property of Cheyenne Leads by MineOne Cloud Computing Investment I L.P.,,2024-05-16,89 FR 43301,https://www.federalregister.gov/documents/2024/05/16/2024-10966/regarding-the-acquisition-of-certain-real-property-of-cheyenne-leads-by-mineone-cloud-computing,https://www.govinfo.gov/content/pkg/FR-2024-05-16/pdf/2024-10966.pdf,,,2026-07-21,2026-07-21,b194f3ad617bfc3e19960861f97fb1fab3c8ac5c2b795b143253cb1104095bbe,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-12487,Biden,Joseph R. Biden Jr.,Other,,"Authorizing Cameron County, Texas, To Construct, Maintain, and Operate a Vehicular and Pedestrian Border Crossing Near Brownsville, Texas, at the International Boundary Between the United States and Mexico",,2024-06-05,89 FR 48243,https://www.federalregister.gov/documents/2024/06/05/2024-12487/authorizing-cameron-county-texas-to-construct-maintain-and-operate-a-vehicular-and-pedestrian-border,https://www.govinfo.gov/content/pkg/FR-2024-06-05/pdf/2024-12487.pdf,,,2026-07-21,2026-07-21,8ad872e659307f3f250de419860e7885e21542b12fd1538cfbfaaecda136509d,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-12489,Biden,Joseph R. Biden Jr.,Other,,"Authorizing Maverick County, Texas, To Construct, Maintain, and Operate a Vehicular, Pedestrian, and Rail Border Crossing Near Eagle Pass, Texas, at the International Boundary Between the United States and Mexico",,2024-06-05,89 FR 48247,https://www.federalregister.gov/documents/2024/06/05/2024-12489/authorizing-maverick-county-texas-to-construct-maintain-and-operate-a-vehicular-pedestrian-and-rail,https://www.govinfo.gov/content/pkg/FR-2024-06-05/pdf/2024-12489.pdf,,,2026-07-21,2026-07-21,50013e270ae9ca5501ecae1f7fe044d564e4fa2df97e1c2d58ab2daaa206ffdf,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2024-12490,Biden,Joseph R. Biden Jr.,Other,,"Authorizing the City of Laredo, Texas, To Expand and Continue To Maintain and Operate a Vehicular and Pedestrian Border Crossing at the World Trade Bridge Land Port of Entry",,2024-06-05,89 FR 48251,https://www.federalregister.gov/documents/2024/06/05/2024-12490/authorizing-the-city-of-laredo-texas-to-expand-and-continue-to-maintain-and-operate-a-vehicular-and,https://www.govinfo.gov/content/pkg/FR-2024-06-05/pdf/2024-12490.pdf,,,2026-07-21,2026-07-21,60e4be0e5fe5c1ed70468bdf2a1f88afa7024f310a1fee9b757514a312650651,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
C1-2019-19930,Trump I,Donald Trump,Proclamation,,Correction,,2019-09-16,84 FR 48549,https://www.federalregister.gov/documents/2019/09/16/C1-2019-19930/correction,https://www.govinfo.gov/content/pkg/FR-2019-09-16/pdf/C1-2019-19930.pdf,2019-19930,,2026-07-21,2026-07-21,4ac74d4bfdf4005438af67d86f2d5e59346b878d5fb4a36bf477f27d533a211a,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01798,Trump I,Donald Trump,Proclamation,9570,National Day of Patriotic Devotion,2017-01-20,2017-01-24,82 FR 8349,https://www.federalregister.gov/documents/2017/01/24/2017-01798/national-day-of-patriotic-devotion,https://www.govinfo.gov/content/pkg/FR-2017-01-24/pdf/2017-01798.pdf,,,2026-07-21,2026-07-21,6d3297591b22cd59dab1ac81e730a95444b8a00d6288e950a21cd2131223209b,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01799,Trump I,Donald Trump,Executive Order,13765,Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal,2017-01-20,2017-01-24,82 FR 8351,https://www.federalregister.gov/documents/2017/01/24/2017-01799/minimizing-the-economic-burden-of-the-patient-protection-and-affordable-care-act-pending-repeal,https://www.govinfo.gov/content/pkg/FR-2017-01-24/pdf/2017-01799.pdf,,"Revoked by: EO 14009, January 28, 2021",2026-07-21,2026-07-21,54abf3f385e10620cf507bb74fa6c268ceda98211556fd7786a3209af8707d54,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01842,Trump I,Donald Trump,Memorandum,,Hiring Freeze,2017-01-23,2017-01-25,82 FR 8493,https://www.federalregister.gov/documents/2017/01/25/2017-01842/hiring-freeze,https://www.govinfo.gov/content/pkg/FR-2017-01-25/pdf/2017-01842.pdf,,,2026-07-21,2026-07-21,5824461870f8806d6b73821214bc72a3d645c63a876cc39fc09b8495e43d66c1,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01843,Trump I,Donald Trump,Memorandum,,The Mexico City Policy,2017-01-23,2017-01-25,82 FR 8495,https://www.federalregister.gov/documents/2017/01/25/2017-01843/the-mexico-city-policy,https://www.govinfo.gov/content/pkg/FR-2017-01-25/pdf/2017-01843.pdf,,,2026-07-21,2026-07-21,dccb206724355fffe67a0772f1fcba24fb7ab8c7b3793108816b6b6782ed2c35,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-01845,Trump I,Donald Trump,Memorandum,,Withdrawal of the United States From the Trans- Pacific Partnership Negotiations and Agreement,2017-01-23,2017-01-25,82 FR 8497,https://www.federalregister.gov/documents/2017/01/25/2017-01845/withdrawal-of-the-united-states-from-the-trans--pacific-partnership-negotiations-and-agreement,https://www.govinfo.gov/content/pkg/FR-2017-01-25/pdf/2017-01845.pdf,,,2026-07-21,2026-07-21,29f8cf8e131b639eb1d1444ee953c69fb0eb3a0a82ec53f090f3470ef70e1ebc,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02029,Trump I,Donald Trump,Executive Order,13766,Expediting Environmental Reviews and Approvals for High Priority Infrastructure Projects,2017-01-24,2017-01-30,82 FR 8657,https://www.federalregister.gov/documents/2017/01/30/2017-02029/expediting-environmental-reviews-and-approvals-for-high-priority-infrastructure-projects,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02029.pdf,,"See: EO 13807, August 15, 2017; Revoked by: EO 13990, January 20, 2021",2026-07-21,2026-07-21,7150e4f12accf50a011d9d3eb5ed2fc34be511ed1f79a8118566a0bef7fbbac6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02031,Trump I,Donald Trump,Memorandum,,Construction of American Pipelines,2017-01-24,2017-01-30,82 FR 8659,https://www.federalregister.gov/documents/2017/01/30/2017-02031/construction-of-american-pipelines,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02031.pdf,,,2026-07-21,2026-07-21,3dcced884193e150c9d0e720568b2e7a9379f0dbda0bc0069f0c2442dcb1581f,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
2017-02032,Trump I,Donald Trump,Memorandum,,Construction of the Dakota Access Pipeline,2017-01-24,2017-01-30,82 FR 8661,https://www.federalregister.gov/documents/2017/01/30/2017-02032/construction-of-the-dakota-access-pipeline,https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02032.pdf,R1-2017-02032,,2026-07-21,2026-07-21,9fa41176023e812f794b428b5d477d01a6ddbcdc97aa0fd05764552c017febb6,Screened — no separate action,,,Completed baseline screening found no distinct project action or retained source-development route for this directive.,2026-07-21
